order_id,order_arrival,process_start_time,order_complete_time,station_id
-32,0,1,75,picker-2
-7,0,1,75,picker-2
-35,0,1,102,picker-3
-6,0,1,121,picker-3
-46,0,1,126,picker-1
-23,0,1,142,picker-3
-37,0,1,163,picker-3
-50,0,1,181,picker-2
-27,0,1,182,picker-3
-24,0,1,182,picker-3
-16,0,1,209,picker-1
-21,0,1,230,picker-1
-49,0,1,244,picker-2
-15,0,1,249,picker-1
-48,0,1,279,picker-2
-11,0,1,285,picker-1
-10,0,1,302,picker-1
-43,0,103,309,picker-3
-47,0,1,315,picker-2
-41,0,127,328,picker-1
-44,0,76,350,picker-2
-42,0,122,365,picker-3
-40,0,143,380,picker-3
-38,0,182,396,picker-2
-39,0,164,463,picker-3
-50,0,1,61,picker-3
-17,0,1,61,picker-3
-40,0,1,132,picker-1
-36,0,1,132,picker-1
-25,0,1,132,picker-1
-50,0,1,62,picker-3
-42,0,1,65,picker-1
-12,0,1,65,picker-1
-17,0,1,78,picker-3
-27,0,1,98,picker-1
-9,0,1,187,picker-1
-49,0,1,235,picker-1
-48,0,1,250,picker-1
-26,0,1,277,picker-2
-47,0,1,282,picker-3
-19,0,1,282,picker-3
-16,0,1,299,picker-2
-15,0,1,299,picker-2
-46,0,1,322,picker-3
-43,0,66,334,picker-1
-3,0,1,335,picker-2
-44,0,63,338,picker-3
-41,0,66,361,picker-1
-10,0,1,390,picker-2
-40,0,79,410,picker-3
-39,0,99,472,picker-1
-11,0,1,490,picker-2
-38,0,188,490,picker-1
-35,0,278,506,picker-2
-37,0,236,543,picker-1
-34,0,283,547,picker-3
-32,0,300,568,picker-2
-45,0,1,578,picker-3
-33,0,283,593,picker-3
-36,0,251,597,picker-1
-31,0,300,610,picker-2
-30,0,323,650,picker-3
-28,0,336,652,picker-2
-29,0,335,698,picker-1
-25,0,339,701,picker-3
-22,0,411,716,picker-3
-23,0,391,735,picker-2
-24,0,362,747,picker-1
-21,0,473,888,picker-1
-8,0,548,934,picker-3
-20,0,491,941,picker-1
-18,0,491,952,picker-2
-42,0,1,96,picker-2
-27,0,1,96,picker-2
-12,0,1,96,picker-2
-35,0,1,101,picker-1
-37,0,1,163,picker-1
-1,0,1,163,picker-1
-21,0,1,169,picker-3
-15,0,1,189,picker-3
-50,0,1,66,picker-1
-17,0,1,66,picker-1
-42,0,1,55,picker-3
-12,0,1,55,picker-3
-50,0,1,61,picker-1
